name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Kleydson Rodrigues,8,3,165.1,61.23,170.18,Orthodox,28,5.48,0.62,2.75,0.48,0.85,0.25,0.63,0.8
Zarah Fairn,6,6,172.72,61.23,182.88,Orthodox,40,4.55,0.31,7.4,0.45,0,0,0.6,0
Jacqueline Cavalcanti,6,1,172.72,61.23,177.8,Orthodox,26,8.4,0.57,2.6,0.84,0,0,1,0
Max Holloway,25,7,180.34,65.77,175.26,Orthodox,32,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3
Chan Sung Jung,17,8,170.18,65.77,182.88,Orthodox,37,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6
Ryan Spann,21,9,195.58,92.99,200.66,Orthodox,32,3.42,0.4,3.91,0.45,1.29,0.35,0.47,1.5
Giga Chikadze,15,3,182.88,65.77,187.96,Orthodox,35,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2
Alex Caceres,21,14,177.8,65.77,185.42,Southpaw,35,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7
Erin Blanchfield,12,1,162.56,56.7,167.64,Orthodox,24,5.58,0.52,3.32,0.62,2.86,0.36,0.83,1.2
Taila Santos,19,3,167.64,56.7,172.72,Orthodox,30,3.39,0.48,2.64,0.58,2,0.76,0.86,1.1
Parker Porter,14,9,182.88,120.2,190.5,Orthodox,38,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5
Lukasz Brzeski,8,4,193.04,107.05,198.12,Orthodox,31,5.08,0.48,3.46,0.57,0.64,0.5,0.42,0.6
Toshiomi Kazama,10,4,170.18,61.23,175.26,Orthodox,26,2.22,0.54,3.94,0.45,1.51,0.13,0.66,0
Chidi Njokuani,22,10,190.5,77.11,203.2,Orthodox,35,4.04,0.6,3.19,0.53,0,0,0.67,0.3
Rolando Bedoya,14,3,180.34,77.11,187.96,Orthodox,27,8.7,0.55,6.83,0.52,0,0,0,0
Billy Goff,9,2,177.8,77.11,182.88,Switch,25,10.22,0.46,4.3,0.64,4.04,0.4,1,0
Yusaku Kinoshita,6,3,182.88,77.11,180.34,Southpaw,23,4.65,0.5,5.12,0.51,0,0,0.5,0
Liang Na,19,7,165.1,56.7,170.18,Orthodox,27,1.93,0.4,4.48,0.27,5.1,0.6,0,0.8
SeungWoo Choi,11,6,182.88,65.77,187.96,Orthodox,31,3.48,0.38,3.02,0.47,0.87,0.54,0.69,0
Aljamain Sterling,23,4,170.18,65.77,180.34,Orthodox,34,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8
Zhang Weili,24,3,162.56,52.16,160.02,Switch,34,5.94,0.51,3.44,0.53,2.29,0.42,0.66,0.4
Da'Mon Blackshear,14,6,177.8,61.23,182.88,Switch,29,4.28,0.47,4.09,0.48,2.34,0.37,0.66,0.8
Chris Weidman,15,7,187.96,83.91,198.12,Orthodox,39,2.98,0.43,3.27,0.5,3.6,0.43,0.65,0.8
Austin Hubbard,16,7,177.8,70.31,180.34,Orthodox,32,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0
Karine Silva,17,4,165.1,56.7,170.18,Orthodox,30,3.37,0.35,3.37,0.5,2.45,0.6,0,4.1
Vicente Luque,22,9,180.34,77.11,190.5,Orthodox,32,5.17,0.52,5.15,0.52,1.04,0.6,0.62,0.7
Cub Swanson,29,13,172.72,65.77,177.8,Orthodox,40,4.7,0.5,3.84,0.59,1.09,0.52,0.61,0.4
Hakeem Dawodu,13,4,172.72,65.77,185.42,Orthodox,32,5.45,0.5,3.37,0.56,0,0,0.65,0
Chris Daukaus,12,7,190.5,92.99,193.04,Orthodox,34,6.05,0.5,4.64,0.55,0,0,1,0
Iasmin Lucindo,15,5,160.02,52.16,167.64,Orthodox,22,3.33,0.39,3.23,0.67,2.33,0.66,0.66,0.4
Tafon Nchukwi,6,4,182.88,83.91,195.58,Orthodox,29,5.57,0.52,4.11,0.54,0.76,0.57,0.64,0
JP Buys,9,6,165.1,61.23,170.18,Orthodox,27,1.88,0.39,3.02,0.4,1.55,0.25,0.25,2.3
Francis Marshall,7,2,175.26,65.77,182.88,Orthodox,25,3.66,0.33,4.07,0.53,3.29,0.5,0,0.7
Juliana Miller,4,3,170.18,56.7,167.64,Orthodox,27,3.31,0.45,4.75,0.32,1.84,0.44,0,1.8
Cory Sandhagen,17,4,180.34,61.23,177.8,Switch,31,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3
Tatiana Suarez,11,0,165.1,52.16,167.64,Southpaw,33,4.27,0.63,1.38,0.51,6.2,0.61,1,0.9
Gavin Tucker,13,3,167.64,65.77,167.64,Southpaw,37,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5
Tanner Boser,21,10,187.96,92.99,190.5,Orthodox,32,4.7,0.52,2.75,0.58,0,0,0.63,0
Aleksa Camur,6,3,185.42,92.99,187.96,Orthodox,28,4.73,0.57,4.26,0.54,0.46,0.22,0.5,0
Ignacio Bahamondes,14,5,190.5,70.31,190.5,Orthodox,26,6.97,0.46,4.36,0.57,0,0,0.85,0.4
Carlston Harris,19,5,182.88,77.11,193.04,Orthodox,36,2.93,0.49,2.44,0.53,2.05,0.29,0.55,0.8
Damon Jackson,22,6,180.34,65.77,180.34,Switch,35,3.02,0.4,3.46,0.5,2.44,0.34,0.4,1.6
