winner,r_stance,b_stance,career_wins_diff,career_losses_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_diff,SApM_diff,sig_str_acc_diff,td_acc_diff,str_def_diff,td_def_diff,sub_avg_diff,td_avg_diff
Red,Orthodox,Orthodox,5,2,-1,0,0,-2.539999999999992,1.6600000000000001,1.5099999999999998,0.10999999999999999,0.26,-0.020000000000000018,0.44,0.2,0.36
Red,Orthodox,Orthodox,0,-3,1,-2.539999999999992,0,-7.6200000000000045,0.1499999999999999,1.3800000000000003,0.15000000000000002,0.12,0.030000000000000027,0.030000000000000027,0.5,-0.51
Blue,Southpaw,Southpaw,5,4,3,-7.6200000000000045,4.539999999999999,-12.699999999999989,1.02,1.6900000000000002,-0.17000000000000004,-0.41,0.040000000000000036,0.26,0.10000000000000003,-2.9299999999999997
Red,Orthodox,Orthodox,-3,-1,4,10.159999999999997,0,-2.539999999999992,3.71,-1.9699999999999998,0.18,0.47,0.13,0.13,0.3,-0.07000000000000006
Blue,Orthodox,Southpaw,3,0,0,5.079999999999984,0,0,1.3399999999999994,-1.3199999999999998,-0.06000000000000005,-0.21000000000000002,0.12000000000000005,0.09000000000000008,-0.49999999999999994,-0.73
Red,Orthodox,Southpaw,12,8,-1,5.0800000000000125,0,15.23999999999998,-3.8299999999999996,-2.8600000000000003,-0.03999999999999998,-0.09999999999999998,-0.040000000000000036,-0.08999999999999997,0.19999999999999998,1.5499999999999998
Blue,Orthodox,Orthodox,-13,3,4,-2.539999999999992,0,0,0.3500000000000001,-0.6600000000000001,0.2,0.38999999999999996,-0.15000000000000002,0.26,2.7,-0.5
Red,Southpaw,Orthodox,0,-1,0,-7.6200000000000045,0,-5.079999999999984,0.8900000000000001,-0.9900000000000002,-0.02999999999999997,-0.29,0.10999999999999999,-0.17000000000000004,1.8,2.84
Red,Switch,Orthodox,8,0,-9,5.0800000000000125,0,0,-0.5899999999999999,-1.7000000000000002,0.020000000000000018,-0.30000000000000004,-0.07,-0.21999999999999997,1.5,0.8200000000000003
Red,Southpaw,Orthodox,6,-1,-7,-10.159999999999997,0,0,0.6199999999999997,-2.28,0,0.46,0.15999999999999998,-0.13,-0.19999999999999996,2.49
Red,Switch,Switch,4,0,1,-2.5400000000000205,0,-10.159999999999997,1.3000000000000007,-1.1899999999999995,0.02999999999999997,0.44,-0.030000000000000027,-0.06999999999999995,0.7,2.25
Red,Orthodox,Southpaw,2,-3,-7,5.079999999999984,0,5.0800000000000125,0.020000000000000018,-1.5800000000000005,-0.02999999999999997,-0.02999999999999997,0.010000000000000009,-0.52,1.5999999999999999,-0.20000000000000007
Blue,Orthodox,Orthodox,-3,0,3,2.5400000000000205,0,0,0.06000000000000005,3.01,-0.06,-0.25,0,0.21000000000000002,-1.8,-2.4
Blue,Southpaw,Southpaw,-2,1,5,2.539999999999992,0,-5.0800000000000125,0.5500000000000003,1.9699999999999998,0.020000000000000018,0.10999999999999999,-0.15999999999999998,0.18000000000000005,-1.9000000000000001,1.9599999999999997
Red,Orthodox,Southpaw,1,-3,-10,-2.5400000000000205,0,5.0800000000000125,0.3799999999999999,-3.8999999999999995,-0.019999999999999907,-0.19,0.11999999999999994,-0.6,0.8,-1.81
Blue,Orthodox,Southpaw,4,4,6,7.6200000000000045,0,5.079999999999984,1.73,4.1899999999999995,-0.010000000000000009,-0.21000000000000002,-0.06999999999999995,0.16000000000000003,-0.30000000000000004,-0.6000000000000001
Blue,Orthodox,Orthodox,13,5,2,7.6200000000000045,0,-2.539999999999992,1.1799999999999997,-0.16000000000000014,0,0.010000000000000009,0.030000000000000027,-0.030000000000000027,-0.09999999999999998,-0.29000000000000004
Red,Orthodox,Orthodox,-1,-9,1,0,-2.269999999999996,-5.079999999999984,1.17,-1.6500000000000004,0.02999999999999997,-0.5,0.07,0.39999999999999997,0,-0.18
Blue,Orthodox,Switch,6,3,1,10.159999999999997,0,2.539999999999992,-0.10999999999999988,-3.5,-0.10000000000000003,-0.45999999999999996,0,-0.5,0.19999999999999996,-2.2
Blue,Orthodox,Southpaw,5,3,1,5.0800000000000125,0,0,1.6900000000000004,-0.10999999999999943,0.07999999999999996,0.25,0.06999999999999995,0.020000000000000018,-0.1,0.36
